000,8000,3.6728443494371824e-20,2.1422609323974112e-19,-2.835330838314849e-19
000,4000,1.9803192672709952e-19,1.3474188524066923e-19,1.0221893510120442e-20
000,2000,1.1740972245443782e-19,9.942373149016168e-20,-1.574245205729869e-20
000,1000,1.0434564720314756e-19,8.039724357191737e-20,-4.799421019603071e-21
000,800,9.783831727945222e-20,7.49919470942929e-20,-5.049882452168141e-21
000,400,8.453823991587616e-20,6.476478869851593e-20,-6.4417640858309715e-21
000,200,7.66458840673707e-20,5.837751152697299e-20,-7.116876661661441e-21
000,100,7.193157119295855e-20,5.449194985268256e-20,-7.521601740977899e-21
001,8000,3.528212135886119e-20,2.3175937056286703e-19,-3.035321765816532e-19
001,4000,1.9756923351751275e-19,1.373818719015932e-19,7.05122532866625e-21
001,2000,1.2334160546964115e-19,1.0838168436135237e-19,-1.8769102062492987e-20
001,1000,1.094072065203021e-19,8.899158049752346e-20,-8.394323015322959e-21
001,800,1.0314863972915273e-19,8.396613585213705e-20,-8.787060877042024e-21
001,400,8.966583527826764e-20,7.346358967162345e-20,-1.0085603232776865e-20
001,200,8.176640225914178e-20,6.694386717938733e-20,-1.0632263851952713e-20
001,100,7.71062174887983e-20,6.302248319717039e-20,-1.0948327932528563e-20
010,8000,4.8620569317256884e-20,2.5452331781084196e-19,-3.0261399062088664e-19
010,4000,1.9430111880199573e-19,1.5281796010806105e-19,5.153059646149352e-22
010,2000,1.1828149577674528e-19,1.2256667520506786e-19,-2.573305199662647e-20
010,1000,1.0733555102629466e-19,1.0388030137603645e-19,-1.3236658402353791e-20
010,800,1.0107842310688163e-19,9.881557762369055e-20,-1.3583324127506148e-20
010,400,8.743782253654613e-20,8.807431093952716e-20,-1.4807243645041896e-20
010,200,7.961587456298655e-20,8.163450576850485e-20,-1.5353449211161146e-20
010,100,7.491708070835947e-20,7.770984479081604e-20,-1.5709321203633443e-20
011,8000,4.384664002633415e-20,2.429207849761539e-19,-3.0482525587112517e-19
011,4000,2.070311082990227e-19,1.5154727445066662e-19,3.1052108757989326e-21
011,2000,1.3327373238554445e-19,1.218598843232532e-19,-2.149562034757128e-20
011,1000,1.2110438624447222e-19,1.0233738303006522e-19,-9.272130148082933e-21
011,800,1.1516418177159612e-19,9.743882807035974e-20,-9.453651184715884e-21
011,400,1.0290465748422966e-19,8.691238378030914e-20,-9.496343721337287e-21
011,200,9.598171559133447e-20,8.04334834711113e-20,-9.094358114917676e-21
011,100,9.180203780583787e-20,7.651154514232463e-20,-8.918834816882003e-21
100,8000,4.384663861871471e-20,2.4292078365098472e-19,-3.0482525514928576e-19
100,4000,2.0703111116493155e-19,1.5154727530245644e-19,3.1052125955871053e-21
100,2000,1.3327373553466919e-19,1.2185988490954447e-19,-2.1495618079010095e-20
100,1000,1.2110438594731543e-19,1.0233738333543754e-19,-9.272130620419676e-21
100,800,1.1516418019235128e-19,9.743882798135963e-20,-9.453652896462405e-21
100,400,1.0290465645010951e-19,8.691238381903073e-20,-9.496344689516951e-21
100,200,9.598172370950153e-20,8.043348364031122e-20,-9.094350297694653e-21
100,100,9.180203845003694e-20,7.651154516322534e-20,-8.918833840245561e-21
101,8000,4.862056929246352e-20,2.5452331833218364e-19,-3.02613991287968e-19
101,4000,1.943011158401223e-19,1.5281795956900843e-19,5.153037517721554e-22
101,2000,1.1828149497667823e-19,1.2256667473690902e-19,-2.5733052279913264e-20
101,1000,1.0733555160954934e-19,1.0388030161342523e-19,-1.3236658931739895e-20
101,800,1.0107842250790191e-19,9.881557794772607e-20,-1.3583325271451928e-20
101,400,8.743782242947847e-20,8.807431096051732e-20,-1.4807243886831856e-20
101,200,7.961587447320512e-20,8.163450585909468e-20,-1.5353450105860367e-20
101,100,7.491707937240825e-20,7.770984469497528e-20,-1.5709323036592412e-20
110,8000,3.5282120894960085e-20,2.3175937015652066e-19,-3.0353217622733366e-19
110,4000,1.9756923333581448e-19,1.37381872194643e-19,7.051224707332475e-21
110,2000,1.2334160642156638e-19,1.0838168525289094e-19,-1.8769102045412838e-20
110,1000,1.094071730463515e-19,8.899158065529047e-20,-8.394357234033046e-21
110,800,1.0314863971844898e-19,8.396613633790705e-20,-8.787061184226315e-21
110,400,8.966583699751546e-20,7.346358938523484e-20,-1.0085601463999954e-20
110,200,8.176640524911117e-20,6.694386735052931e-20,-1.063226203822207e-20
110,100,7.710621864919008e-20,6.302248316732704e-20,-1.0948327775421568e-20
111,8000,3.672844509204449e-20,2.1422609441672327e-19,-2.835330841021198e-19
111,4000,1.9803192851425097e-19,1.3474188544836756e-19,1.022189485878632e-20
111,2000,1.1740972396842873e-19,9.942373197660904e-20,-1.5742451217544578e-20
111,1000,1.0434564649256958e-19,8.039724418931765e-20,-4.799422571269852e-21
111,800,9.783831950830624e-20,7.499194743503188e-20,-5.049881137663131e-21
111,400,8.453823886953434e-20,6.476478842156529e-20,-6.441764438029304e-21
111,200,7.664588388381121e-20,5.837751158205995e-20,-7.116875989830144e-21
111,100,7.193156988195079e-20,5.449194982160797e-20,-7.521602069493868e-21
