0b0000000000000000,8000,3.519286122163888e-18,3.071799596902866e-18
0b0000000000000000,4000,1.805937560498329e-18,1.5204468404924257e-18
0b0000000000000000,2000,1.0978889617012602e-18,8.70818466602275e-19
0b0000000000000000,1000,8.420794329960893e-19,6.387431988851838e-19
0b0000000000000000,500,7.446918767810242e-19,5.520736668379253e-19
0b0000000000000000,400,7.253163039064054e-19,5.347482305218931e-19
0b0000000000000000,320,7.094535177373361e-19,5.204916934677464e-19
0b0000000000000000,200,6.843885969266785e-19,4.978132248109916e-19
0b0000000000000000,100,6.616825337937837e-19,4.771180101615464e-19
0b0000000000000001,8000,3.5220856925869694e-18,3.0791587448859406e-18
0b0000000000000001,4000,1.8106594756209513e-18,1.529182890745397e-18
0b0000000000000001,2000,1.1057437936992979e-18,8.827629650512856e-19
0b0000000000000001,1000,8.519761595350917e-19,6.528079783267823e-19
0b0000000000000001,500,7.539363092658137e-19,5.654931370492134e-19
0b0000000000000001,400,7.344634446004254e-19,5.480721478656313e-19
0b0000000000000001,320,7.185562967179649e-19,5.337781259429769e-19
0b0000000000000001,200,6.933127770587713e-19,5.109407709337315e-19
0b0000000000000001,100,6.7041491072499395e-19,4.90078565974295e-19
