8000,5.615296034933429e-20,4.479429628770388e-20,5.143707019233664e-20
5000,3.239216361803393e-20,3.6733006634831124e-20,4.1770133631042225e-20
4000,2.507116006307759e-20,3.3765889946482646e-20,3.8553636492892865e-20
2000,9.977759043760017e-21,2.9349507083229437e-20,3.0335942628506524e-20
1000,2.005983173386237e-21,2.7742266085343993e-20,2.5187715411402043e-20
800,2.817419515245036e-22,2.746720281214729e-20,2.39958725317636e-20
640,-1.1733739523428162e-21,2.725910394789149e-20,2.2975150887244285e-20
500,-2.4798743019565987e-21,2.7075351654028375e-20,2.202422573407134e-20
400,-3.470031891502127e-21,2.6948544848330543e-20,2.1295101599277873e-20
320,-4.299943072565577e-21,2.6847712410822254e-20,2.0674459668251848e-20
200,-5.636408849173075e-21,2.669709493890055e-20,1.965548101025377e-20
160,-6.1183132772372664e-21,2.6646995842574205e-20,1.9281726432609502e-20
125,-6.562755036733706e-21,2.6603200156149987e-20,1.893378700871474e-20
100,-6.897782840303959e-21,2.657194593701706e-20,1.8669312675928214e-20

